rank,unit,function,meaningful_bytes,padded_target,padded_base,relocation_count_delta,frame_delta,park_class,strict_status,evidence
79,source/saved games/player_profile,_player_profile_new,456,464,464,-1,4,unclassified,R,research/fifty_objects_20260925/w/review3_player_profile/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_saved_games_player_profile.md; research/fifty_objects_20260925/results/wave3/player_profile_source_saved_games_player_profile.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md
80,source/interface/interface,_interface_get_weapon_hud_index,444,448,448,0,,unclassified,R,research/fifty_objects_20260925/w/review_interface/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_interface_interface.md; research/fifty_objects_20260925/results/wave1/fn_interface_source_interface_interface.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_interface.md; docs/object_matching_logs/interface_obj_opus5_next150_n1_20260915.md; docs/object_matching_logs/interface_obj_profiler_symbol_and_enum_audit_20260913.md; docs/object_matching_logs/interface_obj_weapon_hud_best_fuzzy_20260912.md
81,source/items/projectiles,_projectile_new,424,432,432,0,0,unclassified,R,research/fifty_objects_20260925/results/wave1/fn_projectiles_source_items_projectiles_projectile_new.md; research/fifty_objects_20260925/results/wave1/fn_projectiles_source_items_projectiles_data_projectile_update_section_.md; research/fifty_objects_r2_20260924/w/review_r2w2_projectiles/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w2/REVIEW__source_items_projectiles.md; research/fifty_objects_r2_20260924/results/r2w2/source_items_projectiles.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_items_projectiles.md; docs/object_matching_logs/claude_halo_r3_20260924.md
82,source/structures/structures,_sphere_intersects_cluster_portal,418,432,432,0,0,not-parked,R,research/fifty_objects_20260925/w/review_structures/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_structures_structures.md; research/fifty_objects_20260925/results/wave1/fn_structures_source_structures_structures.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_structures_structures.md; docs/object_matching_logs/structures_fog_inline_closeout_20260923.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md
83,source/bungie_net/network/transport_endpoint_set_winsock,_transport_initialize,416,416,400,0,0,unclassified,R,research/fifty_objects_20260925/w/review_transport_endpoint_winsock/REVIEW.md; research/fifty_objects_20260925/w/review3_transport_endpoint_set_winsock__object_storage___net_startup_debug_/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_bungie_net_network_transport_endpoint_set_winsock_object_storage__net_startup_debug.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_bungie_net_network_transport_endpoint_winsock.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock_object_storage__net_startup_debug.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock__transport_initialize.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock__transport_endpoint_set_compare_e.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock__poll_endpoint_set.md
84,source/units/bipeds,_biped_get_sight_position,407,416,416,0,0,unclassified,R,docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/ai_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/bipeds_obj_batch7_exact_and_fuzzy_20260912.md; docs/object_matching_logs/claude_fable_opus_reconciliation_checkpoint_20260908.md
85,source/ai/ai_debug,_ai_debug_render_actor_jmptable,388,24976,,,,not-parked,not-in-owner-population,research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_ai_ai_debug.md; research/fifty_objects_r2_20260924/results/r2w4/source_ai_ai_debug.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_ai_ai_debug.md; docs/object_matching_logs/ai_debug_jmptable_owner_20260923.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/ai_debug_obj.md
86,source/rasterizer/xbox/rasterizer_xbox_hardware_bitmaps,_rasterizer_bitmap_new,388,400,400,0,,instruction-scheduling,R,research/fifty_objects_20260925/results/wave2/fn2_rasterizer_xbox_hardware_bitmaps_rasterizer_xbox_rasterizer_xbox_hardware_bitmaps.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_rasterizer_xbox_rasterizer_xbox_hardware_bitmaps.md; research/fifty_objects_r2_20260924/results/r2w4/source_rasterizer_xbox_rasterizer_xbox_hardware_bitmaps.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_rasterizer_xbox_rasterizer_xbox_hardware_bitmaps.md; docs/object_matching_logs/rasterizer_xbox_hardware_bitmaps_small_object_reaudit_20260924.md; docs/object_matching_logs/claude_lane_c_graphics_ui_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave6_opportunity_audit_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md
87,source/ai/actor_perception,_actor_perception_aiming_vector_test_blockage,385,400,400,0,0,unclassified,R,research/fifty_objects_20260925/results/wave1/fn_actor_perception_source_ai_actor_perception.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/claude_lane_a_hoist_lever_worked_examples_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_research14_normalize2d_context_20260920.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md
88,source/tool/connected_geometry,_triangle_coplanar,380,384,384,0,0,instruction-scheduling,R,research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_tool_connected_geometry.md; docs/object_matching_logs/connected_geometry_crossbuild_qifist_20260924.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/observer_obj_opus5_250k_w3d_20260915.md; docs/object_matching_logs/connected_geometry_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/connected_geometry_obj_opus5_next150_n2_20260915.md; docs/object_matching_logs/items_obj_opus5_150k_w3_20260914.md
89,source/cache/xbox_sound_cache,_sound_cache_debug_render,368,368,368,0,0,tu-context-optimization,R,research/fifty_objects_20260925/results/wave2/fn2_xbox_sound_cache_source_cache_xbox_sound_cache.md; research/fifty_objects_r2_20260924/w/review_r2_xbox_texture_cache/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_cache_xbox_sound_cache.md; research/fifty_objects_r2_20260924/results/r2w4/source_cache_xbox_sound_cache.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_cache_xbox_sound_cache.md; docs/object_matching_logs/xbox_sound_cache_static_ownership_20260924.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_75k_20260916.md; docs/object_matching_logs/xbox_sound_cache_obj_opus5_150k_w3_20260914.md
90,source/saved games/saved_game_files,_saved_game_files_enumerate_available_to_local_player_index,359,368,368,0,0,unclassified,R,research/fifty_objects_20260925/results/wave1/fn_saved_game_files_source_saved_games_saved_game_files.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; research/fifty_objects_r2_20260924/results/r2w4/source_saved_games_saved_game_files.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_10k_20260916.md; docs/object_matching_logs/saved_game_files_obj_opus5_next150_n1_20260915.md; docs/object_matching_logs/saved_game_family_reconciliation_20260909.md; docs/object_matching_logs/claude_fable_opus_reconciliation_checkpoint_20260908.md
91,source/interface/progress_bar,_draw_layer_int,349,352,336,0,0,not-parked,R,research/fifty_objects_20260925/results/wave1/fn_progress_bar_interface_progress_bar_draw_gravy_layer.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_interface_progress_bar.md; research/fifty_objects_r2_20260924/results/r2w4/source_interface_progress_bar.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_progress_bar.md; docs/object_matching_logs/progress_bar_obj_opus5_next150_n1_20260915.md
92,source/saved games/player_profile,_player_profile_write_thread_proc@4,349,352,384,0,0,unclassified,R,research/fifty_objects_20260925/w/review3_player_profile/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_saved_games_player_profile.md; research/fifty_objects_20260925/results/wave3/player_profile_source_saved_games_player_profile.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/player_profile_obj_opus5_next150_n5_20260915.md; docs/object_matching_logs/player_profile_obj_opus5_next150_n4_20260915.md
93,source/physics/physics,_compute_ground_plane,334,336,336,0,0,instruction-scheduling,R,docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/physics_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/physics_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/physics_obj_opus5_100k_20260914.md; docs/object_matching_logs/claude_fable_opus_reconciliation_checkpoint_20260908.md; docs/object_matching_logs/physics_obj_jonas_claude_natural_prefix_exact_20260831.md
94,source/units/bipeds,_biped_get_autoaim_pill,326,336,336,0,0,instruction-scheduling,R,docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/bipeds_obj_batch7_exact_and_fuzzy_20260912.md; docs/object_matching_logs/claude_fable_opus_reconciliation_checkpoint_20260908.md; docs/object_matching_logs/leaf_map_bipeds_obj_interrupted_opus_reaudit_20260904.md
95,source/interface/ui_widget_game_data_input_functions,_multiplayer_game_directions,315,320,320,0,,not-parked,R,research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_ui_widget_game_data_input_functions.md; docs/object_matching_logs/ui_widget_game_data_input_functions_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/ui_widget_game_data_input_functions_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_game_data_profile_fuzzy_reconciliation_20260909.md
96,source/effects/player_effects,_player_effect_add_continuous_effect,314,320,320,0,,not-parked,R,research/fifty_objects_20260925/results/wave4/player_effects_source_effects_player_effects.md; docs/object_matching_logs/player_effects_obj_opus5_next150_n3a_20260915.md; docs/object_matching_logs/player_effects_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/player_effects_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/player_effects_obj_opus_private_helpers_reconciliation_20260904.md
97,source/networking/network_connection,_network_server_close_client_connection,307,320,320,0,,unclassified,R,research/fifty_objects_20260925/results/wave2/REVIEW__source_networking_network_connection.md; research/fifty_objects_20260925/results/wave2/fn2_network_connection_source_networking_network_connection.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_networking_network_connection.md; research/fifty_objects_r2_20260924/results/r2w4/source_networking_network_connection.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_networking_network_connection.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/astra_90pct_wave6_opportunity_audit_20260920.md
98,source/interface/ui_widget,_ui_widget_launch_widget,304,304,304,0,,not-parked,R,docs/object_matching_logs/ui_widget_obj_evidence_closeout_20260919.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_100k_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_house_clean_20260913.md; docs/object_matching_logs/claude_ui_weather_aim_render_hs_reconciliation_20260908.md
99,source/render/render_sprite,_build_sprite_transform_origin_and_direction,297,304,304,0,,not-parked,R,docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_10k_20260916.md; docs/object_matching_logs/render_sprite_obj_opus5_fresh_graphs_20260914.md; docs/object_matching_logs/render_sprite_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/render_sprite_obj_opus5_150k_w1_20260914.md
100,source/text/draw_string,_bitmap_draw_string,296,304,240,0,0,unclassified,R,research/fifty_objects_20260925/results/wave1/fn_draw_string_source_text_draw_string_bss_ownership_split_the_invented_draw_string_global.md; research/fifty_objects_20260925/results/wave1/fn_draw_string_source_text_draw_string_bitmap_draw_string_whole_object_closure_.md; research/fifty_objects_r2_20260924/w/review_r2w2_draw_string/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w2/REVIEW__source_text_draw_string.md; research/fifty_objects_r2_20260924/results/r2w2/source_text_draw_string.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_text_draw_string.md; docs/object_matching_logs/draw_string_obj_opus5_next150_n1_20260915.md
101,source/hs/hs_compile,_hs_parse_boolean,295,304,288,0,,not-parked,R,research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_hs_hs_compile.md; research/fifty_objects_r2_20260924/results/r2w4/source_hs_hs_compile.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/opus5_250k_house_clean_checkpoint_20260915.md; docs/object_matching_logs/hs_compile_obj_opus5_next150_n4_20260915.md
102,source/bungie_net/network/transport_endpoint_winsock,_connect_async_thread_proc@4,294,304,304,0,,unclassified,R,research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_bungie_net_network_transport_endpoint_winsock.md; research/fifty_objects_r2_20260924/results/r2w4/source_bungie_net_network_transport_endpoint_winsock.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md
103,source/networking/network_connection,_network_connection_connect,281,288,272,0,,instruction-scheduling,R,research/fifty_objects_20260925/w/review2_network_connection/REVIEW.md; research/fifty_objects_20260925/results/wave2/REVIEW__source_networking_network_connection.md; research/fifty_objects_20260925/results/wave2/fn2_network_connection_source_networking_network_connection.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_networking_network_connection.md; research/fifty_objects_r2_20260924/results/r2w4/source_networking_network_connection.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_networking_network_connection.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md
104,source/cseries/profile,_compare_profile_sections,276,288,304,0,,unclassified,R,research/fifty_objects_20260925/w/review_profile/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_cseries_profile.md; research/fifty_objects_20260925/results/wave1/fn_profile_source_cseries_profile.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_cseries_profile_critic_3_patch_05_profile_11_static_renames_to_Sept_2001_timesectio.md; research/fifty_objects_r2_20260924/results/r2w4/source_cseries_profile.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md
105,source/saved games/player_profile,_player_profile_create_default_profiles_on_disk,275,288,336,0,4,unclassified,R,docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/player_profile_obj_opus5_next150_n5_20260915.md; docs/object_matching_logs/player_profile_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/player_profile_obj_opus5_next150_n1_20260915.md; docs/object_matching_logs/player_profile_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/saved_game_family_reconciliation_20260909.md; docs/object_matching_logs/player_profile_s3tc_batch_reconciliation_20260907.md
106,source/ai/actor_combat,_actor_combat_plan_grenade_trajectory,273,288,288,0,4,register-allocation,R,docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/actor_combat_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/actor_combat_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/action_obey_obj_private_closure_plan_20260905.md
107,source/math/periodic_functions,@periodic_function_build_variable_period_x_table@4,244,256,256,0,0,instruction-scheduling,R,research/fifty_objects_20260925/results/wave3/periodic_functions_source_math_periodic_functions.md; research/fifty_objects_20260925/results/wave1/data_gap_source_math_periodic_functions.md; docs/object_matching_logs/periodic_functions_small_object_reaudit_20260924.md; docs/object_matching_logs/periodic_functions_globals_authenticity_20260924.md; docs/object_matching_logs/rasterizer_xbox_dynavobgeom_owner_layout_reconciliation.md; docs/object_matching_logs/periodic_functions_obj_jonas_evaluators_builders_exact_20260831.md
108,source/tool/connected_geometry,_connected_geometry_find_or_add_edge,240,240,256,0,,not-parked,R,research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_tool_connected_geometry.md; docs/object_matching_logs/connected_geometry_crossbuild_qifist_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/connected_geometry_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/connected_geometry_obj_opus5_next150_n2_20260915.md; docs/object_matching_logs/connected_geometry_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/connected_geometry_obj_fable_salvage_20260902.md
109,source/items/weapons,_weapon_place,193,208,208,0,,not-parked,R,research/fifty_objects_20260925/w/review_weapons/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_items_weapons.md; research/fifty_objects_20260925/results/wave1/fn_weapons_source_items_weapons.md; research/fifty_objects_r2_20260924/w/review_r2w2_weapons/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w2/REVIEW__source_items_weapons.md; research/fifty_objects_r2_20260924/results/r2w2/source_items_weapons.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_items_weapons.md
110,source/tool/connected_geometry,_connected_geometry_find_or_add_vertex,189,192,192,0,,unclassified,R,research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_tool_connected_geometry.md; docs/object_matching_logs/connected_geometry_crossbuild_qifist_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/connected_geometry_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/connected_geometry_obj_opus5_next150_n2_20260915.md; docs/object_matching_logs/connected_geometry_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/connected_geometry_obj_fable_salvage_20260902.md
111,source/units/bipeds,_biped_check_discard,165,176,176,0,,instruction-scheduling,R,research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_units_bipeds.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_40k_20260916.md; docs/object_matching_logs/opus5_100k_consolidated_HANDOFF_20260914.md; docs/object_matching_logs/glow_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w2_20260914.md
112,source/game/players,_player_examine_nearby_device,162,176,160,0,0,not-parked,R,research/fifty_objects_20260925/results/wave3/players_source_game_players__player_examine_nearby_device_176_.md; research/fifty_objects_r2_20260924/results/r2w4/source_game_players.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_game_players.md; docs/object_matching_logs/claude_lane_a_HANDOFF_TO_LANE_B_20260921.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/claude_lane_a_waveA2_fuzzy_20260920.md
113,source/ai/path_obstacles,_obstacles_test_circle,160,160,160,0,,unclassified,R,research/fifty_objects_20260925/results/wave2/REVIEW__review_layer2_commit_931ed8dc_Layer_2_shared_header_packet_.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_ai_path_obstacles.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/three_leaf_object_closeout_king_path_cache_20260919.md; docs/object_matching_logs/path_obstacles_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/path_obstacles_obj_remaining_unwritten_packet_20260912.md
114,source/effects/effects,_effect_allowed_by_environment,128,128,128,0,,unclassified,R,research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon__hud_update_weapon_local_player.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_10k_20260916.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/effects_obj_opus5_250k_w3d_20260915.md; docs/object_matching_logs/effects_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/effects_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/effects_obj_opus_reconciliation_20260904.md
115,source/game/game,_game_set_game_variant_from_name,92,96,48,-2,-104,unclassified,R,research/fifty_objects_20260925/results/wave1/fn_game_source_game_game.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_game_game.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/claude_lane_a_frame_mismatch_census_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/game_obj_opus5_next150_n1_20260915.md; docs/object_matching_logs/game_obj_hcea_initialize_pair_and_fuzzy_completion_20260908.md
116,source/units/bipeds,_biped_adjust_placement,88,96,96,0,,unclassified,R,docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/bipeds_obj_batch7_exact_and_fuzzy_20260912.md; docs/object_matching_logs/bipeds_obj_adjust_placement_fuzzy_20260904.md
117,source/hs/hs,_real_random_range_evaluate,81,96,96,0,0,not-parked,R,research/fifty_objects_20260925/w/review3_storage_packet_/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_hs_hs_ownership_storage_packet_review_.md; research/fifty_objects_20260925/results/wave3/hs_source_hs_hs_ownership_storage_packet_.md; research/fifty_objects_20260925/results/wave3/hs_source_hs_hs_data_gap_54_780_B_.md; research/fifty_objects_20260925/results/wave3/hs_source_hs_hs__real_random_range_evaluate.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_hs_hs.md; research/fifty_objects_r2_20260924/results/r2w4/source_hs_hs.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_hs_hs.md
118,source/bink/bink_playback,_bink_query_analog_controller_buttons,70,80,96,0,,register-allocation,R,research/fifty_objects_20260925/results/wave1/fn_bink_playback_source_bink_bink_playback_bink_query_analog_controller_buttons.md; research/fifty_objects_r2_20260924/w/review_r2w2_bink_playback/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w2/REVIEW__source_bink_bink_playback.md; research/fifty_objects_r2_20260924/results/r2w4/source_bink_bink_playback.md; research/fifty_objects_r2_20260924/results/r2w2/source_bink_bink_playback.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_bink_bink_playback.md; docs/object_matching_logs/claude_halo_r3_20260924.md
119,source/interface/hud_draw,_fast_ftol_C,56,56,,,,not-parked,U,research/fifty_objects_20260925/w/review4_hud_draw/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_draw.md; research/fifty_objects_20260925/results/wave4/hud_stack_check_source_interface_hud_draw.md; research/fifty_objects_20260925/results/wave1/provider_repair_source_interface_hud_draw.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_hud_draw.md; docs/object_matching_logs/claude_lane_c_canonical_reconciliation_20260922.md
120,source/rasterizer/rasterizer_lights,_rasterizer_lights_reset_for_new_map,48,48,48,0,,not-parked,R,research/fifty_objects_20260925/results/wave4/rasterizer_lights_source_rasterizer_rasterizer_lights__rasterizer_lights_reset_for_new_map_48_.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; research/fifty_objects_r2_20260924/results/r2w4/source_rasterizer_rasterizer_lights.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_lane_c_graphics_ui_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave6_opportunity_audit_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_10k_20260916.md; docs/object_matching_logs/rasterizer_lights_obj_opus5_250k_w3c_20260915.md
121,source/bungie_net/network/transport_endpoint_set_winsock,_poll_ep_array_compare_proc,41,48,48,0,,unclassified,R,research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_bungie_net_network_transport_endpoint_set_winsock.md; research/fifty_objects_r2_20260924/results/r2w4/source_bungie_net_network_transport_endpoint_set_winsock.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md
